Timestamp;y;jlook_y_gyro
1000;3.105804E-001;5.395171E-002
2000;2.197551E-001;5.288645E-002
3000;1.269744E-001;5.395171E-002
4000;3.306993E-002;5.395171E-002
5000;-6.112929E-002;5.501697E-002
6000;-1.547840E-001;5.395171E-002
7000;-2.470658E-001;5.395171E-002
8000;-3.371713E-001;5.395171E-002
9000;-4.242631E-001;5.395171E-002
10000;-5.075929E-001;5.501697E-002
11000;-5.864264E-001;5.501697E-002
12000;-6.600419E-001;5.395171E-002
13000;-7.278020E-001;5.395171E-002
14000;-7.891218E-001;5.395171E-002
15000;-8.434165E-001;5.395171E-002
16000;-8.902247E-001;5.288645E-002
17000;-9.291458E-001;5.288645E-002
18000;-9.598102E-001;5.395171E-002
19000;-9.819499E-001;5.501697E-002
20000;-9.953907E-001;5.501697E-002
21000;-9.999896E-001;5.288645E-002
22000;-9.957013E-001;5.288645E-002
23000;-9.825912E-001;5.288645E-002
24000;-9.607605E-001;5.288645E-002
25000;-9.303858E-001;5.288645E-002
26000;-8.917627E-001;5.288645E-002
27000;-8.452345E-001;5.288645E-002
28000;-7.911846E-001;5.395171E-002
29000;-7.301255E-001;5.395171E-002
30000;-6.625944E-001;5.395171E-002
31000;-5.891628E-001;5.395171E-002
32000;-5.105022E-001;5.395171E-002
33000;-4.273269E-001;5.395171E-002
34000;-3.403463E-001;5.288645E-002
35000;-2.503506E-001;5.182118E-002
36000;-1.581357E-001;5.288645E-002
37000;-6.451322E-002;5.501697E-002
38000;2.969199E-002;5.501697E-002
39000;1.236229E-001;5.501697E-002
40000;2.164550E-001;5.501697E-002
41000;3.073649E-001;5.395171E-002
42000;3.955520E-001;5.288645E-002
43000;4.802244E-001;5.075591E-002
44000;5.606411E-001;5.182118E-002
45000;6.360800E-001;5.288645E-002
46000;7.058705E-001;5.395171E-002
47000;7.693876E-001;5.501697E-002
48000;8.260877E-001;5.395171E-002
49000;8.754566E-001;5.395171E-002
50000;9.170450E-001;5.288645E-002
51000;9.505022E-001;5.182118E-002
52000;9.755294E-001;5.288645E-002
53000;9.918759E-001;5.501697E-002
54000;9.994341E-001;5.501697E-002
55000;9.981340E-001;5.501697E-002
56000;9.879441E-001;5.395171E-002
57000;9.690021E-001;5.288645E-002
58000;9.414743E-001;5.288645E-002
59000;9.055622E-001;5.288645E-002
60000;8.616252E-001;5.395171E-002
61000;8.100537E-001;5.501697E-002
62000;7.512727E-001;5.608224E-002
63000;6.858215E-001;5.608224E-002
64000;6.143013E-001;5.608224E-002
65000;5.373173E-001;5.608224E-002
66000;4.555659E-001;5.501697E-002
